track,date,url
CMR,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/22/2022&DAY=D&STYLE=EQB
EVD,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
FON,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FON&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
GG,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
GP,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
CT,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
KEE,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
LRL,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
OP,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
PEN,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PEN&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
RP,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
HOU,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HOU&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
SRP,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SRP&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
TAM,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
AQU,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
CMR,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/23/2022&DAY=D&STYLE=EQB
DG,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=DG&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
EVD,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
FON,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FON&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
FAN,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FAN&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
MID,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MID&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
GG,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
GN,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GN&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
GP,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
HAW,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HAW&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
CT,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
KEE,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
LRL,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
LA,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LA&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
OP,04/23/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/23/2022&DAY=D&STYLE=EQB
